personal score,academic score,technical score,total score
1,0,52.0,53.0
2,3,45.0,50.0
2,1,51.0,54.0
4,2,62.0,68.0
1,2,36.0,39.0
3,3,39.0,45.0
1,0,45.0,46.0
3,2,56.0,61.0
3,2,38.0,43.0
2,0,37.0,39.0
2,1,33.0,36.0
5,3,59.0,67.0
1,3,45.0,49.0
5,0,23.0,28.0
5,3,39.0,47.0
3,1,47.0,51.0
3,1,55.0,59.0
4,3,38.0,45.0
3,3,24.0,30.0
5,2,58.0,65.0
4,1,54.0,59.0
4,1,45.0,50.0
4,2,19.0,25.0
2,2,64.0,68.0
1,1,45.0,47.0
3,2,44.0,49.0
3,3,50.0,56.0
4,0,53.0,57.0
4,1,49.0,54.0
4,1,36.0,41.0
5,3,37.0,45.0
4,1,34.0,39.0
1,0,49.0,50.0
3,0,49.0,52.0
3,3,62.0,68.0
3,2,46.0,51.0
1,2,54.0,57.0
5,1,34.0,40.0
4,2,46.0,52.0
1,3,39.0,43.0
3,0,34.0,37.0
4,1,45.0,50.0
2,3,48.0,53.0
1,0,38.0,39.0
1,1,54.0,56.0
3,3,54.0,60.0
4,2,49.0,55.0
1,1,47.0,49.0
4,0,53.0,57.0
2,3,38.0,43.0
3,1,36.0,40.0
3,2,41.0,46.0
3,0,30.0,33.0
3,3,60.0,66.0
2,0,51.0,53.0
4,0,42.0,46.0
4,3,59.0,66.0
4,3,29.0,36.0
3,0,49.0,52.0
2,1,31.0,34.0
1,1,42.0,44.0
1,0,45.0,46.0
2,3,26.0,31.0
3,0,42.0,45.0
4,1,38.0,43.0
4,1,39.0,44.0
5,3,46.0,54.0
1,0,34.0,35.0
5,3,41.0,49.0
3,1,50.0,54.0
5,3,39.0,47.0
2,0,44.0,46.0
3,3,39.0,45.0
3,1,37.0,41.0
3,3,26.0,32.0
5,2,45.0,52.0
5,0,39.0,44.0
1,3,39.0,43.0
2,1,43.0,46.0
4,3,40.0,47.0
