personal score,academic score,python,sql,nosql,functional_programming,object_oriented
3,bachelor,5,5,3,2,4
1,no academic,2,2,1,4,4
1,phd,2,4,5,2,2
4,phd,1,2,5,3,4
1,no academic,1,4,5,4,4
3,phd,2,2,3,1,2
1,master,3,1,5,2,3
5,master,5,2,3,3,2
4,bachelor,3,2,5,1,3
4,master,3,5,4,5,3
1,bachelor,2,1,3,3,5
3,master,1,3,3,5,2
1,bachelor,1,4,5,5,3
4,master,3,5,2,2,5
4,master,2,1,3,4,4
1,phd,4,3,1,1,4
2,master,3,5,5,4,5
4,no academic,1,5,2,2,4
5,master,4,4,5,4,3
3,no academic,1,1,2,4,2
5,master,5,2,3,2,2
1,master,5,1,3,2,5
4,bachelor,4,2,1,4,2
3,no academic,2,5,1,3,4
1,phd,3,2,5,2,5
1,bachelor,2,1,5,5,2
4,master,2,4,1,3,4
3,phd,1,1,5,2,1
3,bachelor,2,3,5,2,2
4,bachelor,5,2,2,5,2
3,bachelor,5,1,2,3,5
4,bachelor,2,4,1,3,2
4,no academic,5,5,3,1,5
5,bachelor,4,3,5,2,4
5,no academic,4,1,2,5,4
5,bachelor,4,3,2,1,2
1,master,1,5,5,1,5
2,bachelor,1,2,3,3,2
4,phd,2,1,1,2,3
2,phd,4,4,2,2,4
1,no academic,5,1,5,1,2
2,phd,1,5,2,2,5
3,no academic,1,1,2,2,4
1,bachelor,3,4,3,4,1
4,bachelor,4,3,3,2,5
3,phd,3,2,2,2,4
1,no academic,4,2,3,1,4
5,master,4,3,3,5,3
4,bachelor,2,5,5,2,3
3,master,1,2,5,3,5
4,bachelor,5,1,2,2,3
1,master,3,5,2,4,5
4,phd,1,4,4,5,5
3,phd,2,4,5,5,2
2,bachelor,4,3,1,4,3
2,bachelor,2,4,5,1,1
3,master,5,3,1,5,2
3,phd,5,5,4,2,5
3,master,2,3,5,3,2
4,phd,3,4,3,1,3
4,no academic,1,2,2,3,5
4,master,2,4,4,3,4
2,bachelor,4,1,2,4,2
4,no academic,5,1,1,5,1
3,phd,2,2,3,4,5
1,no academic,4,5,2,2,5
5,phd,3,1,2,2,5
5,phd,1,1,1,5,3
5,no academic,3,1,3,1,1
3,phd,3,5,5,5,2
3,master,1,1,4,5,1
5,phd,3,4,1,5,4
2,phd,3,4,4,2,1
5,phd,3,3,3,2,2
1,no academic,1,4,3,3,3
4,no academic,2,2,1,5,5
4,bachelor,5,1,1,1,4
4,bachelor,3,1,5,3,2
2,no academic,4,1,2,1,5
2,no academic,3,5,3,1,4
2,no academic,5,1,4,4,3
2,master,5,5,2,1,5
3,bachelor,2,3,4,5,1
1,no academic,3,2,5,4,3
2,bachelor,1,3,5,1,5
1,master,1,4,2,5,4
5,phd,2,1,5,4,4
3,no academic,4,3,1,3,4
4,phd,4,1,3,2,4
4,master,1,2,2,1,1
3,master,4,5,3,4,1
1,no academic,4,4,4,1,4
3,bachelor,3,4,5,1,2
3,phd,4,3,1,5,5
2,phd,2,2,1,2,1
3,bachelor,2,2,3,1,4
3,phd,1,3,4,4,1
5,phd,3,4,1,1,4
3,no academic,2,1,4,4,3
5,no academic,4,1,1,4,1
